anime,oseba,vloga
1535,67,Main
1535,65,Main
1535,292,Main
1535,4,Supporting
1535,181,Supporting
1535,42,Supporting
1535,294,Supporting
1535,286,Supporting
1535,338,Supporting
1535,295,Supporting
1535,8170,Producer
1535,6758,Producer
1535,5088,Director
1535,39384,Sound Director
16498,5142,Main
16498,672,Main
16498,158,Main
16498,118,Supporting
16498,212,Supporting
16498,82,Supporting
16498,34,Supporting
16498,5295,Supporting
16498,196,Supporting
16498,5626,Supporting
16498,40365,Producer
16498,5088,Director
16498,42800,Director
16498,16749,Sound Director
5114,82,Main
5114,8,Main
5114,22,Supporting
5114,63,Supporting
5114,513,Supporting
5114,152,Supporting
5114,65,Supporting
5114,912,Supporting
5114,46,Supporting
5114,138,Supporting
5114,203,Producer
5114,6232,Director
5114,16749,Sound Director
5114,31677,Episode Director
11757,11817,Main
11757,890,Main
11757,6996,Main
11757,762,Supporting
11757,5250,Supporting
11757,125,Supporting
11757,823,Supporting
11757,869,Supporting
11757,11,Supporting
11757,25,Supporting
11757,14031,Producer
11757,9323,Producer
11757,42211,Producer
11757,10801,Director
30276,17635,Main
30276,20156,Main
30276,6686,Supporting
30276,513,Supporting
30276,672,Supporting
30276,869,Supporting
30276,98,Supporting
30276,25,Supporting
30276,173,Supporting
30276,6755,Supporting
30276,46598,Producer
30276,28579,Director
30276,30689,Sound Director
30276,39348,Episode Director
22319,14321,Main
22319,21517,Main
22319,8,Supporting
22319,79,Supporting
22319,65,Supporting
22319,600,Supporting
22319,90,Supporting
22319,672,Supporting
22319,185,Supporting
22319,87,Supporting
22319,6564,Director
22319,37396,Sound Director
22319,9464,Episode Director
22319,47418,Episode Director
31964,21971,Main
31964,270,Main
31964,720,Main
31964,11622,Main
31964,20156,Main
31964,672,Supporting
31964,95,Supporting
31964,12017,Supporting
31964,6686,Supporting
31964,5626,Supporting
31964,13677,Director
31964,16749,Sound Director
31964,2471,Script
31964,8743,Storyboard
20,15,Main
20,21,Main
20,16,Main
20,300,Main
20,412,Supporting
20,96,Supporting
20,17,Supporting
20,81,Supporting
20,337,Supporting
20,6,Supporting
20,16407,Producer
20,5843,Director
20,8110,Sound Director
20,10805,Episode Director
9253,65,Main
9253,8662,Main
9253,185,Main
9253,1,Main
9253,27,Supporting
9253,34,Supporting
9253,258,Supporting
9253,211,Supporting
9253,563,Supporting
9253,12477,Supporting
9253,16015,Producer
9253,32079,Producer
9253,6369,Director
9253,9572,Director
11061,655,Main
11061,12961,Main
11061,99,Main
11061,63,Main
11061,87,Supporting
11061,1764,Supporting
11061,65,Supporting
11061,330,Supporting
11061,247,Supporting
11061,67,Supporting
11061,8170,Producer
11061,7500,Producer
11061,10223,Director
11061,39384,Sound Director
6547,185,Main
6547,1133,Main
6547,413,Main
6547,118,Main
6547,1762,Main
6547,10164,Supporting
6547,99,Supporting
6547,287,Supporting
6547,9862,Supporting
6547,6804,Supporting
6547,9675,Producer
6547,48090,Producer
6547,6909,Director
6547,35787,Sound Director
1575,86,Main
1575,140,Main
1575,70,Main
1575,79,Main
1575,152,Supporting
1575,109,Supporting
1575,218,Supporting
1575,323,Supporting
1575,78,Supporting
1575,62,Supporting
1575,40009,Producer
1575,3066,Director
1575,16277,Sound Director
1575,48662,Sound Director
33486,21971,Main
33486,672,Main
33486,270,Main
33486,720,Main
33486,11622,Main
33486,20156,Main
33486,95,Supporting
33486,12017,Supporting
33486,6686,Supporting
33486,207,Supporting
33486,13677,Director
33486,16749,Sound Director
33486,50533,Episode Director
33486,8743,Storyboard
4224,8,Main
4224,820,Main
4224,28,Main
4224,413,Main
4224,341,Main
4224,92,Supporting
4224,211,Supporting
4224,428,Supporting
4224,283,Supporting
4224,60,Supporting
4224,6598,Producer
4224,19347,Producer
4224,8539,Director
4224,8074,Sound Director
10620,10472,Main
10620,8806,Main
10620,581,Supporting
10620,17,Supporting
10620,409,Supporting
10620,523,Supporting
10620,84,Supporting
10620,12345,Supporting
10620,126,Supporting
10620,1,Supporting
10620,10141,Director
10620,8155,Sound Director
10620,42034,Episode Director
10620,39644,Episode Director
20507,118,Main
20507,672,Main
20507,13639,Main
20507,99,Supporting
20507,599,Supporting
20507,86,Supporting
20507,8,Supporting
20507,212,Supporting
20507,79,Supporting
20507,21,Supporting
20507,25893,Director
20507,8830,Sound Director
20507,31677,Episode Director
20507,36957,Script
1735,15,Main
1735,21,Main
1735,16,Main
1735,300,Main
1735,412,Supporting
1735,178,Supporting
1735,17,Supporting
1735,81,Supporting
1735,337,Supporting
1735,6,Supporting
1735,12353,Director
1735,5843,Director
1735,5406,Director
1735,8110,Sound Director
25777,5142,Main
25777,672,Main
25777,158,Main
25777,118,Supporting
25777,212,Supporting
25777,82,Supporting
25777,34,Supporting
25777,5295,Supporting
25777,196,Supporting
25777,5626,Supporting
25777,42800,Producer
25777,40365,Producer
25777,5088,Director
25777,35937,Director
31240,34785,Main
31240,26705,Main
31240,11297,Supporting
31240,28,Supporting
31240,12212,Supporting
31240,124,Supporting
31240,11817,Supporting
31240,11784,Supporting
31240,885,Supporting
31240,262,Supporting
31240,8127,Director
31240,8074,Sound Director
31240,42034,Episode Director
31240,15911,Episode Director
21881,11817,Main
21881,890,Main
21881,99,Main
21881,6686,Main
21881,762,Supporting
21881,6996,Supporting
21881,5250,Supporting
21881,125,Supporting
21881,823,Supporting
21881,25,Supporting
21881,42211,Producer
21881,10801,Director
21881,6016,Sound Director
21881,42034,Episode Director
9919,94,Main
9919,86,Main
9919,118,Supporting
9919,167,Supporting
9919,823,Supporting
9919,241,Supporting
9919,185,Supporting
9919,63,Supporting
9919,123,Supporting
9919,68,Supporting
9919,2762,Director
9919,33967,Sound Director
9919,9265,Episode Director
9919,19775,Episode Director
23273,16135,Main
23273,16635,Main
23273,11622,Main
23273,15743,Main
23273,869,Supporting
23273,602,Supporting
23273,11297,Supporting
23273,10765,Supporting
23273,672,Supporting
23273,28755,Supporting
23273,21611,Producer
23273,38370,Producer
23273,51843,Producer
23273,30359,Director
22199,21517,Main
22199,27,Main
22199,18227,Main
22199,119,Main
22199,723,Supporting
22199,11817,Supporting
22199,78,Supporting
22199,20,Supporting
22199,40,Supporting
22199,15903,Supporting
22199,38369,Producer
22199,14703,Director
22199,936,Sound Director
22199,39175,Episode Director
31043,39726,Main
31043,6686,Main
31043,24,Supporting
31043,12652,Supporting
31043,21955,Supporting
31043,1469,Supporting
31043,279,Supporting
31043,34951,Supporting
31043,76,Supporting
31043,39727,Supporting
31043,10801,Director
31043,6016,Sound Director
31043,10936,Episode Director
31043,21215,Episode Director
6702,167,Main
6702,92,Main
6702,413,Main
6702,4,Main
6702,8,Main
6702,6560,Main
6702,28,Main
6702,31,Supporting
6702,20,Supporting
6702,87,Supporting
6702,38368,Producer
6702,8743,Director
6702,30689,Sound Director
6702,30359,Episode Director
38000,16635,Main
38000,34951,Main
38000,356,Main
38000,11817,Main
38000,869,Supporting
38000,79,Supporting
38000,26063,Supporting
38000,245,Supporting
38000,185,Supporting
38000,15877,Supporting
38000,8076,Producer
38000,4006,Director
38000,41405,Episode Director
38000,41111,Episode Director
269,73,Main
269,152,Main
269,221,Main
269,73,Main
269,16,Main
269,25,Main
269,284,Supporting
269,82,Supporting
269,87,Supporting
269,22,Supporting
269,10277,Director
269,18371,Episode Director
269,10936,Episode Director
269,6831,Episode Director
36456,21971,Main
36456,270,Main
36456,720,Main
36456,672,Supporting
36456,11622,Supporting
36456,95,Supporting
36456,12017,Supporting
36456,6686,Supporting
36456,207,Supporting
36456,7242,Supporting
36456,13677,Director
36456,16749,Sound Director
36456,23577,Episode Director
36456,50533,Episode Director
2904,86,Main
2904,140,Main
2904,70,Main
2904,79,Main
2904,152,Supporting
2904,109,Supporting
2904,218,Supporting
2904,279,Supporting
2904,78,Supporting
2904,62,Supporting
2904,40009,Producer
2904,3066,Director
2904,16277,Sound Director
2904,48662,Sound Director
30831,34785,Main
30831,10094,Main
30831,21517,Main
30831,10765,Main
30831,28,Supporting
30831,20106,Supporting
30831,20106,Supporting
30831,12013,Supporting
30831,25,Supporting
30831,395,Supporting
30831,11299,Director
30831,6016,Sound Director
30831,19333,Episode Director
30831,11976,Episode Director
1,11,Main
1,14,Main
1,658,Main
1,357,Main
1,11,Supporting
1,84,Supporting
1,497,Supporting
1,262,Supporting
1,179,Supporting
1,330,Supporting
1,40009,Producer
1,6519,Producer
1,2009,Director
1,20050,Sound Director
22535,10989,Main
22535,4,Main
22535,100,Supporting
22535,99,Supporting
22535,185,Supporting
22535,21,Supporting
22535,15919,Supporting
22535,6981,Supporting
22535,283,Supporting
22535,1452,Supporting
22535,35207,Director
22535,39384,Sound Director
22535,40492,Storyboard
22535,14001,Theme Song Performance
3588,65,Main
3588,1764,Main
3588,1760,Main
3588,539,Main
3588,78,Main
3588,5186,Main
3588,94,Main
3588,90,Supporting
3588,471,Supporting
3588,160,Supporting
3588,10087,Director
3588,33967,Sound Director
3588,2762,Episode Director
3588,6232,Episode Director
2001,20,Main
2001,37,Main
2001,158,Main
2001,359,Main
2001,257,Supporting
2001,196,Supporting
2001,93,Supporting
2001,5923,Supporting
2001,173,Supporting
2001,91,Supporting
2001,6385,Producer
2001,12649,Producer
2001,7032,Producer
2001,46226,Producer
13601,79,Main
13601,1,Main
13601,185,Main
13601,74,Supporting
13601,17,Supporting
13601,459,Supporting
13601,99,Supporting
13601,93,Supporting
13601,6755,Supporting
13601,181,Supporting
13601,40365,Producer
13601,49895,Assistant Producer
13601,15235,Director
13601,19910,Director
11111,11659,Main
11111,991,Main
11111,7254,Supporting
11111,1489,Supporting
11111,9790,Supporting
11111,125,Supporting
11111,32,Supporting
11111,1527,Supporting
11111,15121,Supporting
11111,9675,Producer
11111,10885,Producer
11111,9552,Director
11111,6016,Sound Director
24833,86,Main
24833,270,Main
24833,9593,Main
24833,19834,Supporting
24833,2,Supporting
24833,93,Supporting
24833,65,Supporting
24833,287,Supporting
24833,9973,Supporting
24833,504,Supporting
24833,6909,Director
24833,35787,Sound Director
24833,42541,Episode Director
24833,51635,Episode Director
27899,16635,Main
27899,21517,Main
27899,8,Supporting
27899,79,Supporting
27899,65,Supporting
27899,600,Supporting
27899,90,Supporting
27899,672,Supporting
27899,87,Supporting
27899,20,Supporting
27899,6564,Director
27899,37396,Sound Director
27899,9464,Episode Director
27899,31677,Episode Director
32182,79,Main
32182,27243,Main
32182,146,Main
32182,11817,Main
32182,88,Main
32182,129,Supporting
32182,17215,Supporting
32182,5997,Supporting
32182,5626,Supporting
32182,247,Supporting
32182,18371,Director
32182,33967,Sound Director
32182,39347,Episode Director
32182,30323,Episode Director
226,149,Main
226,73,Main
226,164,Main
226,552,Main
226,40,Main
226,71,Supporting
226,91,Supporting
226,6631,Supporting
226,132,Supporting
226,44,Supporting
226,6758,Producer
226,6759,Director
226,16443,Sound Director
226,37829,Episode Director
28223,1489,Main
28223,12041,Main
28223,11787,Main
28223,1764,Supporting
28223,5626,Supporting
28223,17215,Supporting
28223,348,Supporting
28223,141,Supporting
28223,63,Supporting
28223,761,Supporting
28223,18371,Director
28223,6549,Sound Director
28223,2009,Episode Director
28223,39348,Episode Director
121,82,Main
121,8,Main
121,243,Supporting
121,63,Supporting
121,95,Supporting
121,176,Supporting
121,144,Supporting
121,138,Supporting
121,316,Supporting
121,179,Supporting
121,203,Producer
121,6519,Producer
121,12109,Producer
121,5083,Director
9989,10765,Main
9989,88,Main
9989,890,Main
9989,599,Main
9989,869,Main
9989,79,Main
9989,8483,Supporting
9989,92,Supporting
9989,579,Supporting
9989,89,Supporting
9989,51843,Producer
9989,36805,Producer
9989,8539,Director
9989,8074,Sound Director
30,458,Main
30,14,Main
30,287,Main
30,9,Main
30,17,Supporting
30,284,Supporting
30,130,Supporting
30,14,Supporting
30,11,Supporting
30,14,Supporting
30,5111,Producer
30,5988,Producer
30,16407,Producer
30,37419,Assistant Producer
20583,15919,Main
20583,20156,Main
20583,270,Supporting
20583,87,Supporting
20583,1764,Supporting
20583,672,Supporting
20583,513,Supporting
20583,88,Supporting
20583,21157,Supporting
20583,18227,Supporting
20583,49895,Producer
20583,18823,Director
20583,7469,Sound Director
20583,10134,Episode Director
6746,118,Main
6746,212,Main
6746,99,Main
6746,65,Main
6746,600,Main
6746,185,Main
6746,173,Supporting
6746,107,Supporting
6746,86,Supporting
6746,1122,Supporting
6746,34357,Assistant Producer
6746,6671,Director
6746,9265,Episode Director
6746,16203,Episode Director
2167,513,Main
2167,31,Main
2167,57,Main
2167,111,Main
2167,32,Main
2167,40,Main
2167,278,Main
2167,239,Main
2167,177,Supporting
2167,195,Supporting
2167,8085,Producer
2167,38029,Producer
2167,5055,Director
2167,7194,Sound Director
35760,118,Main
35760,5142,Main
35760,672,Main
35760,158,Main
35760,11236,Main
35760,212,Supporting
35760,82,Supporting
35760,34,Supporting
35760,196,Supporting
35760,5626,Supporting
35760,40365,Producer
35760,49435,Producer
35760,5088,Director
35760,35937,Director
10087,13,Main
10087,113,Main
10087,1,Main
10087,91,Main
10087,92,Main
10087,116,Supporting
10087,146,Supporting
10087,120,Supporting
10087,117,Supporting
10087,112,Supporting
10087,14031,Producer
10087,8076,Producer
10087,9323,Producer
10087,12163,Director
28121,11817,Main
28121,11297,Main
28121,19884,Supporting
28121,869,Supporting
28121,13639,Supporting
28121,7263,Supporting
28121,5626,Supporting
28121,18227,Supporting
28121,270,Supporting
28121,12652,Supporting
28121,42213,Producer
28121,11066,Director
28121,8074,Sound Director
28121,42034,Episode Director
5081,61,Main
5081,118,Main
5081,28,Main
5081,52,Main
5081,99,Main
5081,185,Main
5081,79,Supporting
5081,413,Supporting
5081,885,Supporting
5081,14031,Producer
5081,27919,Producer
5081,20883,Assistant Producer
5081,5089,Director
15809,15743,Main
15809,7263,Main
15809,1154,Main
15809,11184,Main
15809,356,Supporting
15809,762,Supporting
15809,1722,Supporting
15809,11784,Supporting
15809,10707,Supporting
15809,10064,Supporting
15809,10141,Director
15809,8074,Sound Director
15809,14703,Episode Director
15809,27147,Episode Director
30503,118,Main
30503,672,Main
30503,13639,Main
30503,99,Main
30503,86,Main
30503,599,Supporting
30503,8,Supporting
30503,177,Supporting
30503,212,Supporting
30503,20156,Supporting
30503,25893,Director
30503,35787,Sound Director
30503,36957,Script
30503,39970,Storyboard
29803,245,Main
29803,12016,Main
29803,14441,Supporting
29803,9973,Supporting
29803,102,Supporting
29803,255,Supporting
29803,594,Supporting
29803,65,Supporting
29803,11787,Supporting
29803,10071,Supporting
29803,40519,Director
29803,37118,Sound Director
29803,47262,Episode Director
29803,40544,Script
28999,11622,Main
28999,1764,Main
28999,26543,Main
28999,13639,Main
28999,279,Main
28999,212,Supporting
28999,13639,Supporting
28999,99,Supporting
28999,576,Supporting
28999,16635,Supporting
28999,48090,Producer
28999,37429,Director
28999,35787,Sound Director
28999,16373,Episode Director
37779,655,Main
37779,13639,Main
37779,11404,Main
37779,46817,Supporting
37779,428,Supporting
37779,39129,Supporting
37779,10929,Supporting
37779,48826,Supporting
37779,27395,Supporting
37779,10765,Supporting
37779,6759,Director
37779,16443,Sound Director
37779,9029,Episode Director
37779,51059,Episode Director
33352,5142,Main
33352,87,Supporting
33352,1764,Supporting
33352,17297,Supporting
33352,54,Supporting
33352,160,Supporting
33352,24875,Supporting
33352,1105,Supporting
33352,174,Supporting
33352,890,Supporting
33352,8129,Director
33352,40506,Director
33352,7194,Sound Director
33352,6771,Episode Director
9756,61,Main
9756,6686,Main
9756,32,Main
9756,156,Main
9756,413,Main
9756,52,Main
9756,105,Supporting
9756,315,Supporting
9756,156,Supporting
9756,14031,Producer
9756,9323,Producer
9756,20883,Assistant Producer
9756,5089,Director
32937,34785,Main
32937,10094,Main
32937,21517,Main
32937,10765,Main
32937,28,Supporting
32937,599,Supporting
32937,20106,Supporting
32937,24537,Supporting
32937,20106,Supporting
32937,30901,Supporting
32937,11299,Director
32937,6016,Sound Director
32937,6929,Script
32937,10294,Script
10793,10765,Main
10793,672,Main
10793,513,Main
10793,185,Supporting
10793,6996,Supporting
10793,5295,Supporting
10793,1764,Supporting
10793,96,Supporting
10793,10765,Supporting
10793,270,Supporting
10793,40365,Producer
10793,21611,Producer
10793,5088,Director
10793,16749,Sound Director
14813,7695,Main
14813,869,Main
14813,11184,Main
14813,141,Supporting
14813,10071,Supporting
14813,6686,Supporting
14813,257,Supporting
14813,206,Supporting
14813,31,Supporting
14813,70,Supporting
14813,16067,Director
14813,6549,Sound Director
14813,38121,Episode Director
14813,38061,Episode Director
34134,17635,Main
34134,20156,Main
34134,112,Supporting
34134,6686,Supporting
34134,513,Supporting
34134,672,Supporting
34134,869,Supporting
34134,98,Supporting
34134,25,Supporting
34134,173,Supporting
34134,46598,Producer
34134,31055,Director
34134,6016,Sound Director
34134,12262,Episode Director
6880,185,Main
6880,82,Main
6880,102,Supporting
6880,99,Supporting
6880,8956,Supporting
6880,41,Supporting
6880,6,Supporting
6880,212,Supporting
6880,672,Supporting
6880,12577,Supporting
6880,25629,Producer
6880,25627,Producer
6880,52145,Producer
6880,20102,Director
14741,13639,Main
14741,14441,Main
14741,86,Main
14741,12652,Main
14741,1722,Main
14741,523,Supporting
14741,30,Supporting
14741,51,Supporting
14741,18771,Supporting
14741,28769,Supporting
14741,38029,Producer
14741,5055,Director
14741,7194,Sound Director
14741,7498,Episode Director
38524,118,Main
38524,5142,Main
38524,672,Main
38524,158,Main
38524,212,Supporting
38524,82,Supporting
38524,34,Supporting
38524,5295,Supporting
38524,196,Supporting
38524,5626,Supporting
38524,42800,Producer
38524,40365,Producer
38524,49435,Producer
38524,5088,Director
35849,890,Main
35849,47097,Main
35849,24875,Main
35849,34209,Main
35849,869,Main
35849,42747,Main
35849,24263,Main
35849,10013,Main
35849,11158,Main
35849,28755,Main
35849,6385,Producer
35849,12673,Producer
35849,40434,Producer
35849,9029,Director
14719,2,Main
14719,160,Main
14719,926,Main
14719,7288,Main
14719,9580,Main
14719,100,Main
14719,1506,Main
14719,229,Supporting
14719,146,Supporting
14719,21,Supporting
14719,15107,Director
14719,31545,Director
14719,6016,Sound Director
14719,39644,Episode Director
12189,513,Main
12189,6560,Main
12189,278,Main
12189,10765,Main
12189,140,Supporting
12189,3,Supporting
12189,655,Supporting
12189,6,Supporting
12189,177,Supporting
12189,869,Supporting
12189,12789,Producer
12189,6771,Director
12189,7498,Episode Director
12189,8129,Episode Director
4181,513,Main
4181,31,Main
4181,470,Main
4181,57,Supporting
4181,111,Supporting
4181,32,Supporting
4181,177,Supporting
4181,40,Supporting
4181,278,Supporting
4181,195,Supporting
4181,8085,Producer
4181,38029,Producer
4181,5055,Director
4181,7194,Sound Director
13759,10765,Main
13759,16651,Main
13759,11817,Main
13759,28,Main
13759,11659,Main
13759,79,Main
13759,13,Supporting
13759,28,Supporting
13759,144,Supporting
13759,10981,Supporting
13759,10579,Director
13759,8074,Sound Director
13759,42034,Episode Director
13759,8759,Episode Director
205,123,Main
205,242,Main
205,13,Main
205,448,Supporting
205,181,Supporting
205,357,Supporting
205,37,Supporting
205,84,Supporting
205,38737,Supporting
205,342,Supporting
205,9326,Producer
205,25629,Producer
205,10314,Producer
205,2009,Director
813,557,Main
813,518,Main
813,557,Main
813,673,Main
813,75,Main
813,134,Supporting
813,134,Supporting
813,121,Supporting
813,259,Supporting
813,354,Supporting
813,16687,Assistant Producer
813,6459,Director
813,35739,Director
813,6823,Director
38408,21971,Main
38408,672,Supporting
38408,270,Supporting
38408,720,Supporting
38408,11622,Supporting
38408,95,Supporting
38408,12017,Supporting
38408,6686,Supporting
38408,207,Supporting
38408,7242,Supporting
38408,13677,Director
38408,23577,Director
38408,52264,Episode Director
38408,39950,Theme Song Performance
26243,819,Main
26243,869,Main
26243,88,Main
26243,513,Main
26243,270,Main
26243,20156,Main
26243,885,Main
26243,6686,Supporting
26243,735,Supporting
26243,79,Supporting
26243,40365,Producer
26243,35935,Director
26243,7194,Sound Director
26243,12385,Episode Director
37450,11787,Main
37450,20156,Main
37450,11184,Supporting
37450,17215,Supporting
37450,17209,Supporting
37450,11297,Supporting
37450,13639,Supporting
37450,33995,Supporting
37450,28921,Supporting
37450,2123,Supporting
37450,6389,Director
37450,6016,Sound Director
37450,38963,Episode Director
37450,41312,Episode Director
17265,494,Main
17265,52,Main
17265,1489,Main
17265,91,Supporting
17265,79,Supporting
